date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:18	23964/23964	---MCZ	200	added ('OK')	image/webp	etag:W/%2261dfd7bf-5d9c%22	https://www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-77.webp	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-77.webp	(from https://www.attaqwa.co.id/)
13:25:18	526/526	---MCZ	200	added ('OK')	image/png	etag:W/%22604adac5-20e%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/%ef%80%85%ef%80%85%ef%80%85%ef%80%85%ef%80%85-1-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/%ef%80%85%ef%80%85%ef%80%85%ef%80%85%ef%80%85-1-1.png	(from https://www.attaqwa.co.id/)
13:25:21	136408/136408	---MCZ	200	added ('OK')	image/png	etag:W/%2260823bec-214d8%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Testi-3.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Testi-3.png	(from https://www.attaqwa.co.id/)
13:25:22	144580/144580	---MCZ	200	added ('OK')	image/png	etag:W/%2260823ae1-234c4%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Testo-2.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Testo-2.png	(from https://www.attaqwa.co.id/)
13:25:22	544/544	---MCZ	200	added ('OK')	image/png	etag:W/%2260822d66-220%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/icon_star_feedback.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/icon_star_feedback.png	(from https://www.attaqwa.co.id/)
13:25:22	103189/103189	---MCZ	200	added ('OK')	image/png	etag:W/%22608238f1-19315%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Testi-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Testi-1.png	(from https://www.attaqwa.co.id/)
13:25:23	66353/66353	---MCZ	200	added ('OK')	image/png	etag:W/%226082406a-10331%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-2-03.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-2-03.png	(from https://www.attaqwa.co.id/)
13:25:23	22992/22992	---MCZ	200	added ('OK')	image/webp	etag:W/%2261dfd7be-59d0%22	https://www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-76.webp	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-76.webp	(from https://www.attaqwa.co.id/)
13:25:23	107180/107180	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2261669965-1a2ac%22	https://www.attaqwa.co.id/wp-content/uploads/2021/10/6.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/10/6.jpg	(from https://www.attaqwa.co.id/)
13:25:24	100824/100824	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2261669966-189d8%22	https://www.attaqwa.co.id/wp-content/uploads/2021/10/7-1.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/10/7-1.jpg	(from https://www.attaqwa.co.id/)
13:25:24	21706/21706	---MCZ	200	added ('OK')	image/png	etag:W/%22604adac4-54ca%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/Untitled-3-1-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/Untitled-3-1-1.png	(from https://www.attaqwa.co.id/)
13:25:24	86061/86061	---MCZ	200	added ('OK')	image/png	etag:W/%2260824916-1502d%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-4.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-4.png	(from https://www.attaqwa.co.id/)
13:25:24	21452/21452	---MCZ	200	added ('OK')	image/png	etag:W/%22604adac4-53cc%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/qualiti-1-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/qualiti-1-1.png	(from https://www.attaqwa.co.id/)
